TIME,GEO,SEX,AGE,UNIT,Value,Flag and Footnotes
2011,Bulgaria,Total,Total,Number,7369431.00,
2011,Czechia,Total,Total,Number,10486731.00,
2011,Denmark,Total,Total,Number,5560628.00,
2011,Germany (until 1990 former territory of the FRG),Total,Total,Number,80222065.00,b
2011,Estonia,Total,Total,Number,1329660.00,
2011,Ireland,Total,Total,Number,4570881.00,
2011,Greece,Total,Total,Number,11123392.00,
2011,Spain,Total,Total,Number,46667174.00,
2011,France,Total,Total,Number,64978721.00,
2011,Croatia,Total,Total,Number,4289857.00,
2011,Italy,Total,Total,Number,59364690.00,
2011,Latvia,Total,Total,Number,2074605.00,
2011,Lithuania,Total,Total,Number,3052588.00,
2011,Luxembourg,Total,Total,Number,511840.00,
2011,Hungary,Total,Total,Number,9985722.00,
2011,Netherlands,Total,Total,Number,16655799.00,
2011,Austria,Total,Total,Number,8375164.00,
2011,Poland,Total,Total,Number,38062718.00,
2011,Portugal,Total,Total,Number,10572721.00,
2011,Romania,Total,Total,Number,20199059.00,
2011,Slovenia,Total,Total,Number,2050189.00,
2011,Slovakia,Total,Total,Number,5392446.00,
2011,Finland,Total,Total,Number,5375276.00,
2011,Sweden,Total,Total,Number,9415570.00,
2011,United Kingdom,Total,Total,Number,63022532.00,
2011,Norway,Total,Total,Number,4920305.00,
2011,Switzerland,Total,Total,Number,7870134.00,b
2012,Belgium,Total,Total,Number,11075889.00,b
2012,Bulgaria,Total,Total,Number,7327224.00,
2012,Czechia,Total,Total,Number,10505445.00,
2012,Denmark,Total,Total,Number,5580516.00,
2012,Germany (until 1990 former territory of the FRG),Total,Total,Number,80327900.00,
2012,Estonia,Total,Total,Number,1325217.00,
2012,Ireland,Total,Total,Number,4589287.00,
2012,Greece,Total,Total,Number,11086406.00,
2012,Spain,Total,Total,Number,46818219.00,
2012,France,Total,Total,Number,65276983.00,b
2012,Croatia,Total,Total,Number,4275984.00,
2012,Italy,Total,Total,Number,59394207.00,
2012,Latvia,Total,Total,Number,2044813.00,
2012,Lithuania,Total,Total,Number,3003641.00,
2012,Luxembourg,Total,Total,Number,524853.00,b
2012,Hungary,Total,Total,Number,9931925.00,b
2012,Netherlands,Total,Total,Number,16730348.00,
2012,Austria,Total,Total,Number,8408121.00,
2012,Poland,Total,Total,Number,38063792.00,
2012,Portugal,Total,Total,Number,10542398.00,
2012,Romania,Total,Total,Number,20095996.00,
2012,Slovenia,Total,Total,Number,2055496.00,
2012,Slovakia,Total,Total,Number,5404322.00,
2012,Finland,Total,Total,Number,5401267.00,
2012,Sweden,Total,Total,Number,9482855.00,
2012,United Kingdom,Total,Total,Number,63495303.00,
2012,Norway,Total,Total,Number,4985870.00,
2012,Switzerland,Total,Total,Number,7954662.00,
2013,Belgium,Total,Total,Number,11137974.00,
2013,Bulgaria,Total,Total,Number,7284552.00,
2013,Czechia,Total,Total,Number,10516125.00,
2013,Denmark,Total,Total,Number,5602628.00,
2013,Germany (until 1990 former territory of the FRG),Total,Total,Number,80523746.00,
2013,Estonia,Total,Total,Number,1320174.00,
2013,Ireland,Total,Total,Number,4609779.00,
2013,Greece,Total,Total,Number,11003615.00,
2013,Spain,Total,Total,Number,46727890.00,
2013,France,Total,Total,Number,65600350.00,
2013,Croatia,Total,Total,Number,4262140.00,
2013,Italy,Total,Total,Number,59685227.00,
2013,Latvia,Total,Total,Number,2023825.00,
2013,Lithuania,Total,Total,Number,2971905.00,
2013,Luxembourg,Total,Total,Number,537039.00,
2013,Hungary,Total,Total,Number,9908798.00,
2013,Netherlands,Total,Total,Number,16779575.00,
2013,Austria,Total,Total,Number,8451860.00,
2013,Poland,Total,Total,Number,38062535.00,
2013,Portugal,Total,Total,Number,10487289.00,
2013,Romania,Total,Total,Number,20020074.00,
2013,Slovenia,Total,Total,Number,2058821.00,
2013,Slovakia,Total,Total,Number,5410836.00,
2013,Finland,Total,Total,Number,5426674.00,
2013,Sweden,Total,Total,Number,9555893.00,
2013,United Kingdom,Total,Total,Number,63905297.00,
2013,Norway,Total,Total,Number,5051275.00,
2013,Switzerland,Total,Total,Number,8039060.00,
2014,Belgium,Total,Total,Number,11180840.00,
2014,Bulgaria,Total,Total,Number,7245677.00,
2014,Czechia,Total,Total,Number,10512419.00,
2014,Denmark,Total,Total,Number,5627235.00,
2014,Germany (until 1990 former territory of the FRG),Total,Total,Number,80767463.00,
2014,Estonia,Total,Total,Number,1315819.00,
2014,Ireland,Total,Total,Number,4637852.00,
2014,Greece,Total,Total,Number,10926807.00,
2014,Spain,Total,Total,Number,46512199.00,
2014,France,Total,Total,Number,65942267.00,
2014,Croatia,Total,Total,Number,4246809.00,
2014,Italy,Total,Total,Number,60782668.00,
2014,Latvia,Total,Total,Number,2001468.00,
2014,Lithuania,Total,Total,Number,2943472.00,
2014,Luxembourg,Total,Total,Number,549680.00,
2014,Hungary,Total,Total,Number,9877365.00,
2014,Netherlands,Total,Total,Number,16829289.00,
2014,Austria,Total,Total,Number,8507786.00,
2014,Poland,Total,Total,Number,38017856.00,
2014,Portugal,Total,Total,Number,10427301.00,
2014,Romania,Total,Total,Number,19947311.00,e
2014,Slovenia,Total,Total,Number,2061085.00,
2014,Slovakia,Total,Total,Number,5415949.00,
2014,Finland,Total,Total,Number,5451270.00,
2014,Sweden,Total,Total,Number,9644864.00,
2014,United Kingdom,Total,Total,Number,64351155.00,
2014,Norway,Total,Total,Number,5107970.00,
2014,Switzerland,Total,Total,Number,8139631.00,
